portfolio_id,hub_mac,call_date,label,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d
12074178789571973427163,6ca0b4e66040,2025-10-27,Other,9.0,Landline Issue,10.0,2025-10-27 18:11:28.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,210.0,3,1,1
12167128023421932773940,3c899454ba68,2025-09-16,Other,10.0,Broadband Hardware Issue,9.0,2025-09-16 13:41:42.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,83.0,1,1,0
CX3434790S,807215b29870,2025-09-02,Other,10.0,Landline Issue,9.0,2025-09-02 15:17:15.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,99.0,3,2,1
12245068385679776630399,c0a36e898170,2025-09-17,Other,10.0,Landline Issue,9.0,2025-09-17 13:51:46.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,202.0,2,1,1
CX80047001S,3c457abea928,2025-08-30,Other,10.0,Landline Issue,10.0,2025-08-30 15:48:45.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,100.0,3,3,0
CX3064080S,3c457a7408b0,2025-09-12,Other,10.0,Landline Issue,10.0,2025-09-12 14:39:05.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1999,0,0,216.0,2,2,0
16134759380478978842819,c460260539e8,2025-09-01,Other,10.0,Landline Issue,10.0,2025-09-01 15:45:03.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,53.0,2,2,0
17381491607075711833981,04819bad9dd8,2025-09-16,Other,9.0,TV or Device Issue,9.0,2025-09-16 13:16:34.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,7475,0,0,7.0,3,2,0
CX482436S,3c457a418ce0,2025-10-24,Other,10.0,Landline Issue,10.0,2025-10-24 13:46:49.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,6709,0,0,100.0,5,4,0
17524244111248130984787,80751f0eaae0,2025-09-05,Other,10.0,Existing Order or Installation,9.0,2025-09-05 11:14:07.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,0.0,1,1,0
12121432780916444242594,8072153d9b60,2025-09-05,Other,10.0,Account Enquiry or Move,8.0,2025-09-05 08:47:30.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,153.0,2,2,0
13135973796380742867343,507043bd2428,2025-10-25,Other,10.0,Landline Issue,10.0,2025-10-25 14:39:06.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,55.0,1,1,0
14785548908331296457451,6ca0b4d21f98,2025-08-29,Other,10.0,Landline Issue,9.0,2025-08-29 11:07:44.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,17.0,3,3,0
