call_date,label,long_reason,evidence,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d
2025-09-01,Other,"The customer is calling because an engineer did not show up to fix their landline. The customer reports being unable to make or receive calls, and there is a lot of noise on the line.",Customer: YESTERDAY I WAS SUPPOSED TO HAVE AN ENGINEER HERE YESTERDAY SUNDAY TO LOOK AT MY LANDLINE AND HE DIDN'T ARRIVE...WELL I CAN'T MAKE CALLS AND I CAN'T RECEIVE THEM AND THERE'S AN AWFUL LOT OF NOISE ON THE LINE,10.0,Landline Issue,8.0,2025-09-01 15:18:01.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,1935,0,0,223.0,5,5,0
2025-10-28,Other,"The customer is reporting that their house phone (landline) is not working, as it's not accepting or making calls. The primary issue is related to their landline service, not broadband.",HELL O DEAR I PHONED LAST WEEK MY HOUSE PHONE IS NOT WORKING IT'S NOT ACCEPTING CALLS AND OR NOT FOR CALL YOU GAVE A FEW TIMES TO TRY LAST WEEK AND IT'S STILL THE SAME IS NOT WORKING YOU'RE LIKE SOMEBODY I'D LIKE SOMEBODY OUT DETECT IT PLEASE,10.0,Landline Issue,10.0,2025-10-28 18:02:20.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,135.0,2,2,0
2025-08-04,Other,"The customer is reporting that their landline phone service is not working. The broadband and television services are functioning correctly. The customer has tried troubleshooting steps such as unplugging and replugging the phone, and changing the batteries, but the issue persists. An engineer visit has been arranged to resolve the issue.","Customer: BROADBAND'S WORKING TELEVISION WORKING BETTER PHONE IS NOT
Agent: BROADBAND TELEVISION IS WORKING THE PHONE IS NOT WORKING AGAIN
Customer: NO",10.0,Landline Issue,10.0,2025-08-04 13:22:05.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,99.0,1,1,0
2025-09-13,Other,"The customer is inquiring about changing their Sky subscription from Sky Q to Sky Stream, specifically regarding the equipment and cost implications, and does not mention any broadband issues.","Customer: WELL WELL IS IT GOING TO COST ME ANY MONEY TO GET THESE PUCKS THE GOES FROM SKY <SPELLING_TERM> SKY <PERSON> BOX TO GET RID OF THE BOX
Customer: SO IF I IF I GO FROM <PERSON> I'VE GOT SKY <SPELLING_TERM> AND I'VE GOT <NUMBER> BOXES AT THE MOMENT BUT I DON'T WANT THEM ON I WANT IT I WANT <NUMBER> SKY BOX SO WHAT WOULD THAT COST ME
Customer: RIGHT SO I'VE JUST GOES IT SO IT SAYS HERE AT SKY <PERSON> WITH SKY STREAM <PERSON> SMALL PALM SIZE STREAMING DEVICE IT PROVIDES SKY TV AND STREAMING SERVICES OVER THE INTERNET ELIMINATING I NEED FOR DISH",9.0,Upgrade or Package Change,8.0,2025-09-13 12:59:58.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,14.0,1,1,0
2025-08-21,Other,The customer is moving into a new property and needs a new internet line installed as the existing cable is incorrectly routed. This requires an engineer visit to resolve.,Hold on there uh Novel couldn't reinstall it internet line can you please contact Sky to arrange a new instal The existing cable comes in over the door and then a new quote needs to be installed in the electrical cabinet,9.0,Account Enquiry or Move,8.0,2025-08-21 19:02:08.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,3.0,1,1,0
2025-09-16,Other,"The customer initially called about their Sky Glass TV not turning on and displaying a blank screen. While broadband issues were briefly mentioned, the primary and resolved issue was the TV itself, leading to a replacement order.",Customer: 'I'VE LOST MY SKY GLASS TV I PHONED UP TO <NUMBER> DAYS AGO FOR THE SAME PROBLEM WITH MANAGED TO GET IT FIXED AND IT JUST WON'T TURN ON THERE'S NO SKY LOGO COMING ON ON THE GLASS TV IT'S JUST A BLANK SCREEN' and 'FINALLY WHAT'S AFTER AT THIS POINT BUT THE WORST <PERSON> SCENARIO REPLACING THE TV I THINK THAT'S WHAT'S GONNA HAPPEN HERE',9.0,TV or Device Issue,9.0,2025-09-16 13:16:34.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,7475,0,0,7.0,3,2,0
2025-09-12,Other,"The customer is experiencing issues with their landline service, specifically a dead line, after a contract renewal. This is unrelated to broadband performance.",Customer: 'the landline isn't working it's just saying check phone line was checked all the internal lines and everything's fine there's nothing wrong with the phone it's just completely the line is dead' and 'NO NO STILL NO DIALLING TONE',9.0,Landline Issue,9.0,2025-09-12 08:17:40.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,220.0,3,1,2
2025-10-23,Other,"The agent initially asks about Wi-Fi coverage issues, but the customer confirms there is a problem with the speed to the hub, and an engineer visit is scheduled to resolve this.","Agent: ""I UNDERSTAND YOU'RE HAVING ISSUES WITH THE WIFI COVERAGE IS THAT CORRECT"" Customer: ""YESTERDAY"" Agent: ""THERE SEEMS TO BE AN ISSUE WITH THE SPEED TO THE HUB""",7.0,Existing Order or Installation,8.0,2025-10-23 14:33:10.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,25.0,1,1,1
2025-11-01,Other,"The customer's broadband cable (wire) is broken, requiring an engineer visit for repair.","Customer: ""MY WIRE FOR THE WIFI FILLED DOWN AFTER THEY GET THE <NUMBER> COME OUT AND FIX THIS FOR A""",9.0,Broadband Hardware Issue,8.0,2025-11-01 09:30:12.000000 UTC,1,BBTTE,BBTTE,60,1,1,1,283,0,0,38.0,1,1,0
2025-08-25,Other,"The customer is calling to rearrange an engineer visit to fix their father's phone line, which is not working at all. This issue is related to a landline problem, not broadband.",Customer: AND HE HE CAN'T USE HIS TELEPHONE AT ALL. Agent: WHAT'S THE ISSUE WITH THE TELEPHONE SO YOU CANNOT MAKE OR RECEIVE CALLS IS IT. Customer: THAT'S CORRECT. Agent: IS THERE AT LEAST A DIALLING TONE. Customer: NOTHING IT SAYS PLEASE CHECK <NUMBER> CALL,10.0,Landline Issue,10.0,2025-08-25 14:35:29.000000 UTC,1,BBTTE,BBTTE,60,0,0,0,,0,0,13.0,1,1,0
