call_date,label,long_reason,evidence,confidence,other_label,other_confidence,outcome_ts,outcome_fulfiled_flag,suggested_outcome,suggested_outcome_cleaned,selected_outcome,selected_outcome_cleaned,outcome_cost,sc_call_next_7d_flag,sc_call_days_next_7d,sc_interactions_next_7d,avg_mins_per_sc_interaction_next_7d,bb_churn_next_30d,bb_churn_next_60d,bb_tenure_months,all_interactions_prev_30d,service_interactions_prev_30d,sales_interactions_prev_30d,first_csg_call_reason,last_csg_call_reason,engineer_reported_cause,engineer_reported_symptom,engineer_reported_action
2025-09-22,Poor Coverage,"The customer reports that their Wi-Fi signal drops significantly when they move away from the router, affecting connectivity in different rooms of their house. They specifically ask for a Wi-Fi extender.",I'VE GOT A PROBLEM WITH MY WIFI SO WHEN I SIT NEXT TO THE ROUTER EVERYTHING WITH SKY BUT WHEN I GO IN A DIFFERENT ROOM THE SIGNAL DROPS MASSIVELY SO I WONDERED WHETHER WE'D BE ABLE TO HAVE A WIFI EXTENDER AS PART OF OUR PACKAGE,10,,,2025-09-22 12:29:15 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,3,1,1,0,,,,,
2025-09-12,Other,"The customer is primarily concerned that their landline phone is not working, specifically that they cannot receive incoming calls, despite an engineer visit. This appears to be a problem with the landline activation process rather than the broadband itself.",Customer: WE HAD A SKY ENGINEER OUT YESTERDAY AND THE DAY BEFORE AND THAT PHONE STILL NOT WORKING... Customer: I'VE RUN OUT ON IT BUT NOBODY CAN RINGING ON IT... Agent: YEAH OKAY IT DOESN'T RING OUT YOU KNOW WHAT I MEAN THIS COULD BE COFFEE THE WHEN WHEN YOUR WHEN YOUR BROADBAND WHICH IS ON THE LANDLINE IS ALWAYS THE LAST PART GETS ACTIVATED SO I CAN SPEAK YOU'RE STILL SHOWING IN PROGRESS AFTER WORK AND UNTIL AFTER MIDNIGHT TO FOR IT TO COME TO COMPLETE UH TO THE END UM,10,Landline Issue,9,2025-09-12 14:32:18 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,0,,0,0,51,2,2,0,,,,,
2025-08-04,Unreliable Wi-Fi,"The customer reports their broadband is constantly freezing, not connecting, and buffering when trying to watch content and use their phone. They have been experiencing these issues since cancelling their Sky TV package a year ago.",Customer: I'VE HAD NOTHING BUT PROBLEMS WITH THE BALL BAND IN IF I TRY AND WATCH ANYTHING ON CATCH UP CONSTANTLY CONSTANTLY FREEZING I CANNOT CONNECT MY MOBILE PHONE... IF I CHOOSE TO GO ON SOMETHING AND IT DOESN'T CONNECT WHICH TO BE FAIR <NUMBER> PERCENT OF THE TIME IT DOESN'T... I CAN GO ON IF I TRY AND WATCH SOMETHING SURRENDER BUFFERING AND WHATEVER THE AND JUST GIVE UP JUST COME OFF OF IT,8,,,2025-08-04 13:46:34 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,33,1,1,0,,,,,
2025-09-06,Poor Coverage,"The customer reports an unstable network connection and issues with specific apps on their mobile phone, despite the agent confirming the broadband connection is fine. The agent suggests moving closer to the router.",Customer: 'EVERY TIME I TRIED TO GET ON ANY GAMES OR WHATEVER ON MY TELEPHONE IT'S BEEN LIKE THIS SINCE <NUMBER> O'CLOCK THIS MORNING I KEEP GETTING UP MY NETWORK IS UNSAFE' and Agent: 'WHAT I WANT YOU TO DO WITH THAT THERE CAN I GET YOU TO MOVE CLOSER TO YOUR ROUTER BECAUSE THERE'S DEFINITELY NOTHING WRONG WITH YOUR BROADBAND THAT'S FINE',8,,,2025-09-06 12:09:26 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,120,4,4,0,,,,,
2025-10-26,Unreliable Wi-Fi,"The customer reports that their Sky Q box keeps disconnecting from the internet, requiring them to repeatedly reset it to regain connection. This intermittent connectivity affects their ability to use streaming services like Netflix and BBC iPlayer through their Sky Q box.",Customer: 'IT'S BEEN I'VE BEEN HAVING A PROBLEM FOR OVER A WEEK NOW YEAH' and 'IT'S JUST NOT CONNECTING ALL THE TIME' and 'IT IS CONNECTED BUT IT KEEPS BEING UNCONNECTED' and 'I HAVE TO RESET IT BY GOING ON THE SKY BOX AND THEN PRESSING THE THING ON THE SIDE OF THE BOX TO RECONNECT IT BUT THAT'S I KEEP HAVING TO DO THAT AT THE MOMENT',9,,,2025-10-26 15:35:04 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,109,1,1,0,,,,,
2025-09-19,Other,"The customer is experiencing an issue with their landline phone not working, which they initially believed was a line issue but was resolved by connecting the phone to the hub.","Customer: 'MY PHONE LINE JUST DOESN'T WORK', 'NO CAN'T DO ANYTHING', 'IT'S ACTUALLY SAYING CHECK TELEPHONE LINE', 'THE PHONE IS WORKING FINE THAT'S ALL PHONE ITSELF IS THE LINE THERE'S NO THERE'S NO COLD', 'NO I'VE GOT IT IN THE BOX RIGHT THAT MIGHT BE WHY THEN', 'RIGHT MATE YOU FIXED IT THANK YOU VERY MUCH THAT'S MY FAULT'",10,Landline Issue,8,2025-09-19 10:44:15 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,11,1,1,0,,,,,
2025-09-02,Other,The customer is calling on behalf of their parents because their voicemail service isn't working properly and hasn't been for several months. They also question the necessity of paying for a service that doesn't work when they have an answering machine.,Customer: VOICEMAIL HAS NOT BEEN WORKING FOR LIKE I SAID AROUND THE LAST <NUMBER> MONTHS SOMETHING LIKE THAT IT'S BEEN NOT WORKING FOR A LONG TIME ANYWAY... because they're paying all this money for you know for what basically for bloody service that doesn't actually work.,10,Landline Issue,8,2025-09-02 15:44:52 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,41,1,1,0,,,,,
2025-11-02,Unreliable Wi-Fi,"The customer reports that their internet connection keeps cutting out on devices, affecting streaming on their TV and potentially other devices. They mention that their TV is not working properly nearby.",Customer: YEAH IT JUST KEEPS CUTTING OUT ON DEVICES... Customer: IT'LL JUST ALL OF A SUDDEN LIKE BELIEVE I PAY OR SOMETHING <PERSON> THAT'S CLEAR,8,,,2025-11-02 12:53:53 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,50,1,1,0,,,,,
2025-08-22,Unreliable Wi-Fi,"The customer reports that their internet keeps cutting out, specifically stating that a program will be fine for a number of minutes and then 'it's gone'. This is causing frustration, especially when watching films.",Customer: 'IT'S THE INTERNET THAT'S CUTTING OUT' ... Customer: 'I START WATCHING A PROGRAMME AND IT <PERSON> BE FINE FOR ABOUT <NUMBER> MINUTES SOMETIMES QUITE A LONG TIME <PERSON> <NUMBER> MINUTES AND THEN IT'S GONE',9,,,2025-08-22 13:21:54 UTC,,,INCOMPLETE,,INCOMPLETE,0,1,1,1,16925,0,0,4,8,8,1,Signal,Signal,,,
2025-09-09,Unreliable Wi-Fi,"The customer reports that their broadband occasionally goes off and they need to restart the router to get it working again. They are concerned about this affecting their new Sky Glass, which relies on Wi-Fi.",Customer: ONCE IN A WHILE GOES OFF AND I HAVE TO TURN IT OFF TURN IT BACK ON AND WORLD TO MY ROLE AND I'M THINKING WITH THE SKY GLASS DEPENDING ON IT,8,,,2025-09-09 19:06:13 UTC,,,INCOMPLETE,,INCOMPLETE,0,0,0,0,,0,0,101,1,1,0,,,,,
